location,price,features,listing_url,name,lat,long,source,rating
"801/102-110 Waymouth Street, Adelaide SA 5000",360,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/801-102-110-waymouth-street-adelaide-sa-5000/8221525,,-34.9254421,138.5958327,homely,
"6/29-31 Compton Street, Adelaide SA 5000",400,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/6-29-31-compton-street-adelaide-sa-5000/8221429,,-34.9312925,138.5965609,homely,
"208/39 Grenfell Street, Adelaide SA 5000",475,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/208-39-grenfell-street-adelaide-sa-5000/8221428,,-34.9250338,138.60141,homely,
"207/293 Angas Street, Adelaide SA 5000",495,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/207-293-angas-street-adelaide-sa-5000/8221298,,-34.9298697,138.6115508,homely,
"901/297 pirie Street, Adelaide SA 5000",540,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/901-297-pirie-street-adelaide-sa-5000/8221059,,-34.9256019,138.6107325,homely,
"1/15 Vincent Place, Adelaide SA 5000",550,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/1-15-vincent-place-adelaide-sa-5000/8221009,,-34.9341514,138.6137271,homely,
"1206/156 Wright Street, Adelaide SA 5000",600,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/1206-156-wright-street-adelaide-sa-5000/8217798,,-34.9315892,138.5946367,homely,
"1/22 Liberman Close, Adelaide SA 5000",500,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/1-22-liberman-close-adelaide-sa-5000/8217649,,-34.9231943,138.6095042,homely,
"408/185 Morphett Street, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/408-185-morphett-street-adelaide-sa-5000/6214311,,-34.9266691,138.5934686,homely,
"1/27 Cypress Street, Adelaide SA 5000",700,"['Bed: 3', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/1-27-cypress-street-adelaide-sa-5000/8215834,,-34.929328,138.6071752,homely,
"706/10 Balfours Way, Adelaide SA 5000",460,"['Bed: 1', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/706-10-balfours-way-adelaide-sa-5000/8212072,,-34.9270649,138.5927618,homely,
"118/281-286 North Terrace, Adelaide SA 5000",405,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/118-281-286-north-terrace-adelaide-sa-5000/8204033,,-34.9213487,138.6087407,homely,
"1404/10 Balfours Way, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/1404-10-balfours-way-adelaide-sa-5000/8203643,,-34.9269651,138.5929161,homely,
"S1207/180 Franklin Street, Adelaide SA 5000",625,"['Bed: 3', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/s1207-180-franklin-street-adelaide-sa-5000/8201824,,-34.9272938,138.5921872,homely,
"171 Sturt Street, Adelaide SA 5000",220,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/171-sturt-street-adelaide-sa-5000/8194717,,-34.9335889,138.5922144,homely,
"7/29-31 Compton Street, Adelaide SA 5000",435,"['Bed: 2', 'Bath: 2', 'Car: 2', '1000m²']",https://www.homely.com.au/homes/7-29-31-compton-street-adelaide-sa-5000/8192581,,-34.9312925,138.5965609,homely,
"406/39 Grenfell Street, Adelaide SA 5000",530,"['Bed: 3', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/406-39-grenfell-street-adelaide-sa-5000/8183488,,-34.9250371,138.6013896,homely,
"1011/156 Wright Street, Adelaide SA 5000",420,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1011-156-wright-street-adelaide-sa-5000/8181888,,-34.9315892,138.5946367,homely,
"3.1/242 Flinders Street, Adelaide SA 5000",336,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/31-242-flinders-street-adelaide-sa-5000/8178693,,-34.9263246,138.6095877,homely,
