location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",726.2910798122066,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/25855355?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,★Retro Paradiso★Boutique cottage in Adelaide CBD,-34.9284989,138.6007456,aribnb,4.93 (140 reviews)
"Norwood, Adelaide",498.435054773083,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/41745303?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Cute Super City Fringe 1 Bedroom Unit &carpark,-34.9213881,138.632203,aribnb,4.82 (38 reviews)
"Adelaide, Adelaide",505.00782472613463,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning']",https://www.airbnb.com/rooms/17831059?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Trendy Apartment in Adelaide CBD ❤Private Balcony❤,-34.9284989,138.6007456,aribnb,4.87 (172 reviews)
"Adelaide, Adelaide",509.3896713615024,"['2 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/33400108?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Brand New luxury South Terrace No.06,-34.9284989,138.6007456,aribnb,4.84 (80 reviews)
"Adelaide, Adelaide",693.4272300469485,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/10557407?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,City Cottage- pet friendly,-34.9284989,138.6007456,aribnb,4.82 (165 reviews)
"North Adelaide, Adelaide",420.65727699530515,"['4 guests', '1 bedroom', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/29693221?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Great City Explorer Apartment,-34.9083198,138.5919105,aribnb,4.83 (114 reviews)
"Adelaide, Adelaide",567.4491392801252,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/47749301?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Parkland Pad Contemporary Apt - City skyline Views,-34.9284989,138.6007456,aribnb,4.74 (47 reviews)
"Adelaide, Adelaide",810.6416275430361,"['4 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/31701650?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Oaks Horizons & Amazing City View& Free Parking,-34.9284989,138.6007456,aribnb,4.95 (133 reviews)
"Adelaide, Adelaide",572.9264475743349,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/52343133?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,｡◕‿◕｡Crafts Gallery•Square View✔restaurants✔Bars✔,-34.9284989,138.6007456,aribnb,5.0 (6 reviews)
"Adelaide, Adelaide",766.8231611893584,"['4 guests', '2 bedrooms', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/plus/9732926?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Central Market CBD Apartment with Free Parking Wi-Fi Netflix,-34.9284989,138.6007456,aribnb,4.87 (360 reviews)
"Adelaide, Adelaide",1046.1658841940532,"['4 guests', '2 bedrooms', '2 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/31229036?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,★Sky High on Grote★2BR Staycation✔CBD✔Pool✔Gym✔,-34.9284989,138.6007456,aribnb,4.65 (145 reviews)
